gene_id,Symbol,Product_Description
PVP01_0000010,N/A,PIR.protein
PVP01_0000020,N/A,STP1.protein
PVP01_0000030,N/A,STP1.protein
PVP01_0000040,N/A,STP1.protein
PVP01_0000050,N/A,PIR.protein
PVP01_0000060,N/A,"PEP,UF"
PVP01_0000070,N/A,"PEP,UF"
PVP01_0000080,N/A,"PIR.protein,.pseudogene"
PVP01_0000090,N/A,"Plasmodium.exported.protein.(PHIST),.unknown.function"
PVP01_0000100,TRAG25,tryptophan-rich.protein
PVP01_0000110,TRAG26,tryptophan-rich.protein
PVP01_0000120,TRAG27,tryptophan-rich.protein
PVP01_0000130,TRAG28,tryptophan-rich.protein
PVP01_0000140,TRAG36,tryptophan-rich.protein
PVP01_0000150,TRAG30,tryptophan-rich.protein
PVP01_0000160,TRAG31,tryptophan-rich.protein
PVP01_0000170,TRAG32,tryptophan-rich.protein
PVP01_0000180,N/A,"PEP,UF"
PVP01_0000190,N/A,"lysophospholipase,.putative"
PVP01_0000200,TRAG33,tryptophan-rich.protein
PVP01_0000210,N/A,tryptophan-rich.protein
PVP01_0000220,N/A,"PEP,UF"
PVP01_0000230,N/A,PIR.protein
PVP01_0000240,N/A,PIR.protein
PVP01_0000250,N/A,PIR.protein
PVP01_0000260,N/A,PIR.protein
PVP01_0000270,N/A,PIR.protein
PVP01_0000280,N/A,PIR.protein
PVP01_0000290,N/A,PIR.protein
PVP01_0000300,N/A,PIR.protein
PVP01_0000310,N/A,PIR.protein
PVP01_0000320,N/A,PIR.protein
PVP01_0000330,N/A,PIR.protein
PVP01_0000340,N/A,"PIR.protein,.pseudogene"
PVP01_0000350,N/A,PIR.protein
PVP01_0000360,N/A,PIR.protein
PVP01_0000370,N/A,PIR.protein
PVP01_0000380,N/A,PIR.protein
PVP01_0000390,N/A,PIR.protein
PVP01_0000400,N/A,PIR.protein
PVP01_0000410,N/A,PIR.protein
PVP01_0000420,N/A,PIR.protein
PVP01_0000430,N/A,PIR.protein
PVP01_0000440,N/A,PIR.protein
PVP01_0000450,N/A,"PIR.protein,.pseudogene"
PVP01_0000460,N/A,PIR.protein
PVP01_0000470,N/A,PIR.protein
PVP01_0000480,N/A,PIR.protein
PVP01_0000490,N/A,PIR.protein
PVP01_0000500,N/A,PIR.protein
PVP01_0000510,N/A,PIR.protein
PVP01_0000520,N/A,PIR.protein
PVP01_0000530,N/A,"PIR.protein,.pseudogene"
PVP01_0000540,N/A,PIR.protein
PVP01_0000550,N/A,PIR.protein
PVP01_0000560,N/A,"PIR.protein,.pseudogene"
PVP01_0000570,N/A,PIR.protein
PVP01_0000580,N/A,PIR.protein
PVP01_0000590,N/A,PIR.protein
PVP01_0000600,N/A,PIR.protein
PVP01_0000610,N/A,"PIR.protein,.pseudogene"
PVP01_0000620,N/A,PIR.protein
PVP01_0000630,N/A,PIR.protein
PVP01_0000640,N/A,"PIR.protein,.pseudogene"
PVP01_0000650,N/A,PIR.protein
PVP01_0000660,N/A,PIR.protein
PVP01_0000670,N/A,PIR.protein
PVP01_0000680,N/A,PIR.protein
PVP01_0000690,N/A,PIR.protein
PVP01_0000700,N/A,PIR.protein
PVP01_0000710,N/A,PIR.protein
PVP01_0000720,N/A,PIR.protein
PVP01_0000730,N/A,PIR.protein
PVP01_0000740,N/A,PIR.protein
PVP01_0000750,N/A,PIR.protein
PVP01_0000760,N/A,"PIR.protein,.pseudogene"
PVP01_0000770,N/A,PIR.protein
PVP01_0000780,N/A,PIR.protein
PVP01_0000790,N/A,PIR.protein
PVP01_0000800,N/A,PIR.protein
PVP01_0000810,N/A,PIR.protein
PVP01_0000820,N/A,PIR.protein
PVP01_0000830,N/A,PIR.protein
PVP01_0000840,N/A,PIR.protein
PVP01_0000850,N/A,"PIR.protein,.pseudogene"
PVP01_0000860,N/A,"PIR.protein,.pseudogene"
PVP01_0000870,N/A,PIR.protein
PVP01_0000880,N/A,PIR.protein
PVP01_0000890,N/A,PIR.protein
PVP01_0000900,N/A,"PIR.protein,.pseudogene"
PVP01_0000910,N/A,PIR.protein
PVP01_0000920,N/A,PIR.protein
PVP01_0000930,N/A,PIR.protein
PVP01_0000940,N/A,PIR.protein
PVP01_0000950,N/A,PIR.protein
PVP01_0000960,N/A,PIR.protein
PVP01_0000970,N/A,"PIR.protein,.pseudogene"
PVP01_0000980,N/A,PIR.protein
PVP01_0000990,N/A,PIR.protein
PVP01_0001000,N/A,PIR.protein
PVP01_0001010,N/A,PIR.protein
PVP01_0001020,N/A,PIR.protein
PVP01_0001030,N/A,PIR.protein
PVP01_0001040,N/A,PIR.protein
PVP01_0001050,N/A,PIR.protein
PVP01_0001060,N/A,PIR.protein
PVP01_0001070,N/A,PIR.protein
PVP01_0001080,N/A,PIR.protein
PVP01_0001090,N/A,PIR.protein
PVP01_0001100,N/A,PIR.protein
PVP01_0001110,N/A,PIR.protein
PVP01_0001120,N/A,PIR.protein
PVP01_0001130,N/A,PIR.protein
PVP01_0001140,N/A,PIR.protein
PVP01_0001150,N/A,PIR.protein
PVP01_0001160,N/A,PIR.protein
PVP01_0001170,N/A,PIR.protein
PVP01_0001180,N/A,PIR.protein
PVP01_0001190,N/A,PIR.protein
PVP01_0001200,N/A,PIR.protein
PVP01_0001210,N/A,PIR.protein
PVP01_0001220,N/A,PIR.protein
PVP01_0001230,N/A,PIR.protein
PVP01_0001240,N/A,PIR.protein
PVP01_0001250,N/A,PIR.protein
PVP01_0001260,N/A,PIR.protein
PVP01_0001270,N/A,"PIR.protein,.pseudogene"
PVP01_0001280,N/A,PIR.protein
PVP01_0001290,N/A,"PIR.protein,.pseudogene"
PVP01_0001300,N/A,PIR.protein
PVP01_0001310,N/A,PIR.protein
PVP01_0001320,N/A,PIR.protein
PVP01_0001330,N/A,PIR.protein
PVP01_0001340,N/A,"PIR.protein,.fragment"
PVP01_0001350,N/A,PIR.protein
PVP01_0001360,N/A,PIR.protein
PVP01_0001370,N/A,PIR.protein
PVP01_0001380,N/A,PIR.protein
PVP01_0001390,N/A,PIR.protein
PVP01_0001400,N/A,PIR.protein
PVP01_0001410,N/A,PIR.protein
PVP01_0001420,N/A,PIR.protein
PVP01_0001430,N/A,"Plasmodium.exported.protein.(PHIST),.unknown.function"
