Average TCF4A,Average TCF4D,Average TCF4I,Average TCF4M,Average TCF20A,Average TCF 20 D,Average TCF 20 I,Average TCF 20 M,Average TCF36A,Average TCF36D,Average TCF36I,Average TCF36M,Average TCF44A,Average TCF44D,Average TCF44I,Average TCF44M,Average TCF44hA,Average TCF44hD,Average TCF44hI,Average TCF44hM,Average TCF72D,Average TCF72I,Average TCF72M,Average TCF72mA,Average TCF72mD,Average TCF72mI,Average TCF72mM,Average TCF72hA,Average TCF72hI,`
3.25,0,0.03,0,0,0,5.88,4.28,2.61,0,5.185,2.605,4.89,5.8,0,0.22,0,4.35,2.633333333,1.063333333,16.715,11.56333333,24.02,0,1.643333333,6.395,2.543333333,2.685,1.52,1.666666667
2.375,5.23,0.365,1.7,0,0.94,27.44,1.16,0.97,2.145,3.22,4.595,3.196666667,0.886666667,1.113333333,3.17,0.706666667,1.76,1.376666667,0.966666667,0,4.423333333,13.85333333,9.31,0,1.67,4.46,1.05,0,1.986666667
1.405,3.145,1.815,0,1.22,1.955,36.99,1.91,1.21,0.505,1.915,1.77,1.013333333,0.516666667,1.693333333,0.633333333,0.13,0,0.123333333,0.16,2.435,6.21,7.63,5.18,1.306666667,0.95,2.5,0.78,0.843333333,0.633333333
10.385,14.46,14.11,19.1,19.005,9.69,162.84,12.985,6.275,3.47,8.03,8.955,3.34,4.75,8.446666667,8.736666667,4.093333333,1.8,4.06,4.08,42.06,37.92333333,88.28,26.13,11.77333333,12.06,14.40666667,9.325,7.466666667,10.18333333
94.635,109.865,71.965,111.37,53.57,91.74,126.415,65.44,50.835,66.375,70.955,69.43,18.10666667,22.25,24.44,18.45666667,3.02,10.56,3.913333333,1.266666667,39.115,39.36666667,93.59666667,35.295,22.13,34.755,48.3,0.595,13.31333333,8.086666667
9.395,2.925,2.52,3.065,6.32,2.62,98.165,2.815,1.46,0.745,2.15,0.845,0.53,1.346666667,2.716666667,0.936666667,1.466666667,0,0,0,9.43,2.176666667,14.45333333,1.26,3.01,0,1.396666667,0,10.28666667,0
51.625,69.405,81.23,45.565,45.965,59.785,109.04,36.485,22.695,30.98,20.025,32.425,32.01333333,27.59,26.69333333,25.54666667,13.26666667,5.76,9.47,11.73,91.935,63.01,109.6233333,27.48,25.92666667,27.39,47.78666667,3.895,2.813333333,15.89
0,0,0,0,0,0,0,0,11.7,3.275,16.595,15.105,0,0,0,0,36.4,19.69,38.04666667,35.35,0,0,0,46.1,25.31666667,23.255,41.09333333,21.51,9.233333333,12.21666667
63.055,77.1,53.21,56,64.54,53.575,103.31,45.395,45.73,68.725,71.01,67.635,25,26.98333333,36.42333333,22.14666667,20.39,24.81,28.83333333,22.97666667,22.035,14.51,22.96666667,2.39,20.78666667,40.9,38.52333333,1.925,20.27,21.50666667
206.185,174.6,165.645,173.935,90.83,99.21,157.22,91.185,30.785,51.595,36.815,46.815,28.78666667,30.78333333,36.74333333,27.60666667,32.78,7.31,35.25666667,31.03666667,128.725,74.39666667,205.6166667,43.23,40.57,29.62,43.14,78.39,88.19333333,94.18666667
